# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Mass (g),Longitudinal moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Drag force (N),Drag coefficient (​),Normal force coefficient (​),Damping moment coefficient (​),Corrective moment Coefficient ()
68.78,337.661,-5.575,7.507,-5.306e-4,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.365,293.153,NaN,NaN,NaN
69.065,336.075,-5.575,7.465,-0.001,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.357,293.153,NaN,NaN,NaN
69.349,334.488,-5.575,7.459,0.002,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.368,293.153,NaN,NaN,NaN
69.634,332.902,-5.575,7.432,0.056,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.651,293.153,NaN,NaN,NaN
69.918,331.318,-5.559,7.622,-0.026,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.368,293.153,NaN,NaN,NaN
70.203,329.731,-5.566,7.775,-0.002,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.418,293.153,NaN,NaN,NaN
70.488,328.146,-5.566,7.916,-0.023,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.301,293.153,NaN,NaN,NaN
70.773,326.56,-5.573,7.902,0.003,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.372,293.153,NaN,NaN,NaN
71.058,324.975,-5.572,7.94,0.006,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.391,293.153,NaN,NaN,NaN
71.342,323.39,-5.57,8.009,0.038,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.569,293.153,NaN,NaN,NaN
71.626,321.807,-5.56,7.816,-0.014,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.396,293.153,NaN,NaN,NaN
71.911,320.223,-5.564,7.672,-0.009,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.382,293.153,NaN,NaN,NaN
72.196,318.638,-5.566,7.561,0.049,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.657,293.153,NaN,NaN,NaN
72.481,317.056,-5.552,7.335,-0.062,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.206,293.153,NaN,NaN,NaN
72.766,315.47,-5.57,7.385,0.019,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.459,293.153,NaN,NaN,NaN
73.05,313.888,-5.564,7.267,-0.017,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.318,293.153,NaN,NaN,NaN
73.335,312.304,-5.569,7.294,0.027,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.496,293.153,NaN,NaN,NaN
73.619,310.722,-5.562,7.158,-0.019,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.325,293.153,NaN,NaN,NaN
73.903,309.139,-5.567,7.221,0.01,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.424,293.153,NaN,NaN,NaN
74.188,307.557,-5.564,7.317,0.026,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.528,293.153,NaN,NaN,NaN
74.472,305.976,-5.557,7.475,-0.02,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.351,293.153,NaN,NaN,NaN
74.757,304.393,-5.562,7.59,-0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.365,293.153,NaN,NaN,NaN
75.041,302.811,-5.564,7.671,-0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.342,293.153,NaN,NaN,NaN
75.325,301.23,-5.566,7.68,0.003,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.374,293.153,NaN,NaN,NaN
75.609,299.649,-5.565,7.718,0.002,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.371,293.153,NaN,NaN,NaN
75.893,298.068,-5.565,7.761,0.017,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.449,293.153,NaN,NaN,NaN
76.177,296.488,-5.56,7.875,-0.015,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.322,293.153,NaN,NaN,NaN
76.462,294.907,-5.564,7.854,0.04,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.568,293.153,NaN,NaN,NaN
76.746,293.329,-5.553,7.67,-0.037,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.267,293.153,NaN,NaN,NaN
77.03,291.747,-5.563,7.648,0.034,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.535,293.153,NaN,NaN,NaN
77.314,290.169,-5.554,7.484,-0.01,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.392,293.153,NaN,NaN,NaN
77.598,288.589,-5.557,7.361,-0.003,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.401,293.153,NaN,NaN,NaN
77.883,287.01,-5.557,7.474,-0.004,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.384,293.153,NaN,NaN,NaN
78.167,285.431,-5.558,7.572,0.054,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.671,293.153,NaN,NaN,NaN
78.451,283.854,-5.543,7.785,-0.011,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.47,293.153,NaN,NaN,NaN
78.735,282.275,-5.546,7.994,0.024,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.621,293.153,NaN,NaN,NaN
79.02,280.698,-5.539,7.741,0.101,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,26.082,293.153,NaN,NaN,NaN
79.305,279.124,-5.511,7.354,-0.156,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.001,293.153,NaN,NaN,NaN
79.591,277.54,-5.555,7.498,-0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.336,293.153,NaN,NaN,NaN
79.875,275.962,-5.559,7.545,0.013,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.429,293.153,NaN,NaN,NaN
80.159,274.385,-5.555,7.644,-0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.329,293.153,NaN,NaN,NaN
80.443,272.808,-5.559,7.66,0.023,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.477,293.153,NaN,NaN,NaN
80.726,271.232,-5.552,7.528,-0.015,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.334,293.153,NaN,NaN,NaN
81.01,269.655,-5.556,7.471,0.028,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.514,293.153,NaN,NaN,NaN
81.294,268.079,-5.549,7.317,-0.017,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.352,293.153,NaN,NaN,NaN
81.578,266.503,-5.553,7.417,-0.006,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.361,293.153,NaN,NaN,NaN
81.862,264.927,-5.555,7.352,0.014,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.445,293.153,NaN,NaN,NaN
82.146,263.352,-5.551,7.463,0.004,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.425,293.153,NaN,NaN,NaN
82.429,261.776,-5.55,7.341,-0.019,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.312,293.153,NaN,NaN,NaN
82.713,260.2,-5.555,7.365,0.008,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.401,293.153,NaN,NaN,NaN
82.997,258.626,-5.553,7.435,0.013,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.445,293.153,NaN,NaN,NaN
83.28,257.052,-5.549,7.55,0.015,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.486,293.153,NaN,NaN,NaN
83.564,255.478,-5.545,7.704,-0.006,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.41,293.153,NaN,NaN,NaN
83.848,253.904,-5.546,7.845,-0.023,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.301,293.153,NaN,NaN,NaN
84.132,252.329,-5.553,7.828,0.003,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.371,293.153,NaN,NaN,NaN
84.415,250.755,-5.552,7.791,0.054,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.641,293.153,NaN,NaN,NaN
84.698,249.184,-5.537,7.577,-0.052,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.227,293.153,NaN,NaN,NaN
84.983,247.609,-5.552,7.566,0.051,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.624,293.153,NaN,NaN,NaN
85.266,246.038,-5.537,7.366,-0.047,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.246,293.153,NaN,NaN,NaN
85.55,244.463,-5.551,7.416,0.017,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.449,293.153,NaN,NaN,NaN
85.833,242.891,-5.546,7.524,-0.01,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.348,293.153,NaN,NaN,NaN
86.117,241.319,-5.549,7.59,0.015,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.447,293.153,NaN,NaN,NaN
86.4,239.747,-5.545,7.47,-0.009,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.361,293.153,NaN,NaN,NaN
86.684,238.175,-5.547,7.393,0.006,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.41,293.153,NaN,NaN,NaN
86.967,236.604,-5.545,7.489,-0.005,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.363,293.153,NaN,NaN,NaN
87.25,235.032,-5.547,7.558,0.036,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.561,293.153,NaN,NaN,NaN
87.533,233.463,-5.537,7.378,-0.039,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.261,293.153,NaN,NaN,NaN
87.817,231.89,-5.548,7.406,0.025,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.49,293.153,NaN,NaN,NaN
88.1,230.321,-5.54,7.272,-0.019,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.323,293.153,NaN,NaN,NaN
88.384,228.749,-5.546,7.33,0.025,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.495,293.153,NaN,NaN,NaN
88.667,227.18,-5.539,7.19,-0.021,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.32,293.153,NaN,NaN,NaN
88.95,225.61,-5.545,7.252,0.041,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.582,293.153,NaN,NaN,NaN
89.233,224.042,-5.533,7.417,-0.022,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.358,293.153,NaN,NaN,NaN
89.517,222.471,-5.539,7.544,-0.016,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.328,293.153,NaN,NaN,NaN
89.8,220.901,-5.544,7.497,0.049,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.62,293.153,NaN,NaN,NaN
90.083,219.334,-5.53,7.297,-0.033,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.319,293.153,NaN,NaN,NaN
90.367,217.764,-5.539,7.199,-0.015,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.325,293.153,NaN,NaN,NaN
90.65,216.195,-5.543,7.18,0.02,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.462,293.153,NaN,NaN,NaN
90.933,214.628,-5.538,7.066,0.018,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.502,293.153,NaN,NaN,NaN
91.216,213.061,-5.533,7.213,-0.022,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.336,293.153,NaN,NaN,NaN
91.5,211.492,-5.539,7.308,0.016,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.471,293.153,NaN,NaN,NaN
91.783,209.925,-5.534,7.44,-0.023,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.309,293.153,NaN,NaN,NaN
92.066,208.357,-5.541,7.403,0.009,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.408,293.153,NaN,NaN,NaN
92.349,206.79,-5.538,7.483,5.635e-4,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.385,293.153,NaN,NaN,NaN
92.631,205.223,-5.538,7.405,-0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.342,293.153,NaN,NaN,NaN
92.914,203.656,-5.54,7.4,0.009,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.402,293.153,NaN,NaN,NaN
93.197,202.09,-5.538,7.327,0.01,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.43,293.153,NaN,NaN,NaN
93.48,200.525,-5.535,7.221,0.03,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.555,293.153,NaN,NaN,NaN
93.763,198.96,-5.526,7.389,-0.023,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.354,293.153,NaN,NaN,NaN
94.046,197.393,-5.533,7.513,0.011,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.468,293.153,NaN,NaN,NaN
94.329,195.828,-5.53,7.66,-0.026,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.301,293.153,NaN,NaN,NaN
94.612,194.262,-5.537,7.711,0.003,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.381,293.153,NaN,NaN,NaN
94.895,192.697,-5.536,7.652,-0.003,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.354,293.153,NaN,NaN,NaN
95.177,191.132,-5.537,7.639,0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.42,293.153,NaN,NaN,NaN
95.46,189.568,-5.534,7.547,-0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.347,293.153,NaN,NaN,NaN
95.743,188.004,-5.536,7.586,-1.867e-4,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.361,293.153,NaN,NaN,NaN
96.025,186.44,-5.536,7.571,0.006,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.39,293.153,NaN,NaN,NaN
96.308,184.876,-5.534,7.509,-0.003,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.357,293.153,NaN,NaN,NaN
96.59,183.313,-5.535,7.481,0.002,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.371,293.153,NaN,NaN,NaN
96.873,181.749,-5.534,7.444,0.04,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.571,293.153,NaN,NaN,NaN
97.155,180.188,-5.523,7.608,-0.027,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.325,293.153,NaN,NaN,NaN
97.438,178.624,-5.53,7.517,-0.011,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.332,293.153,NaN,NaN,NaN
97.721,177.061,-5.533,7.526,0.048,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.604,293.153,NaN,NaN,NaN
98.003,175.5,-5.52,7.702,-0.044,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.248,293.153,NaN,NaN,NaN
98.286,173.936,-5.532,7.693,0.004,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.376,293.153,NaN,NaN,NaN
98.568,172.375,-5.531,7.735,6.383e-5,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.364,293.153,NaN,NaN,NaN
99.068,169.609,-5.531,7.786,0.001,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.365,293.153,NaN,NaN,NaN
99.351,168.048,-5.531,7.785,0.018,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.45,293.153,NaN,NaN,NaN
99.633,166.487,-5.526,7.669,-0.012,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.335,293.153,NaN,NaN,NaN
99.915,164.926,-5.529,7.628,0.017,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.452,293.153,NaN,NaN,NaN
100.197,163.366,-5.525,7.509,0.008,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.448,293.153,NaN,NaN,NaN
100.48,161.806,-5.522,7.374,0.006,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.456,293.153,NaN,NaN,NaN
100.762,160.246,-5.52,7.518,-0.008,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.392,293.153,NaN,NaN,NaN
101.045,158.686,-5.523,7.4,0.009,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.455,293.153,NaN,NaN,NaN
101.327,157.126,-5.52,7.261,-0.026,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.294,293.153,NaN,NaN,NaN
101.61,155.566,-5.528,7.264,0.033,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.526,293.153,NaN,NaN,NaN
101.892,154.008,-5.519,7.115,0.004,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.457,293.153,NaN,NaN,NaN
102.174,152.449,-5.518,7.261,-0.022,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.331,293.153,NaN,NaN,NaN
102.457,150.889,-5.524,7.185,0.05,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.642,293.153,NaN,NaN,NaN
102.739,149.333,-5.51,7.372,-0.04,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.299,293.153,NaN,NaN,NaN
103.022,147.773,-5.521,7.488,-0.01,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.349,293.153,NaN,NaN,NaN
103.304,146.215,-5.524,7.43,3.925e-4,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.373,293.153,NaN,NaN,NaN
103.586,144.657,-5.524,7.376,0.022,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.481,293.153,NaN,NaN,NaN
103.868,143.1,-5.518,7.503,-0.018,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.327,293.153,NaN,NaN,NaN
104.15,141.542,-5.523,7.565,0.034,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.544,293.153,NaN,NaN,NaN
104.432,139.986,-5.513,7.395,0.008,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.494,293.153,NaN,NaN,NaN
104.715,138.429,-5.511,7.57,-0.017,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.38,293.153,NaN,NaN,NaN
104.997,136.872,-5.516,7.709,0.024,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.547,293.153,NaN,NaN,NaN
105.279,135.317,-5.509,7.516,-0.028,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.336,293.153,NaN,NaN,NaN
105.562,133.759,-5.517,7.409,0.019,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.501,293.153,NaN,NaN,NaN
105.844,132.204,-5.512,7.25,0.026,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.583,293.153,NaN,NaN,NaN
106.126,130.649,-5.504,7.049,-0.008,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.473,293.153,NaN,NaN,NaN
106.409,129.093,-5.507,7.23,-0.045,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.255,293.153,NaN,NaN,NaN
106.691,127.536,-5.519,7.189,-0.002,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.355,293.153,NaN,NaN,NaN
106.973,125.981,-5.52,7.19,0.066,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.699,293.153,NaN,NaN,NaN
107.255,124.429,-5.502,6.975,-0.06,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.214,293.153,NaN,NaN,NaN
107.537,122.872,-5.518,7.03,0.073,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.743,293.153,NaN,NaN,NaN
107.819,121.32,-5.498,7.232,-0.049,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.294,293.153,NaN,NaN,NaN
108.102,119.764,-5.512,7.367,0.018,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.51,293.153,NaN,NaN,NaN
108.384,118.211,-5.507,7.2,-0.032,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.296,293.153,NaN,NaN,NaN
108.666,116.656,-5.516,7.272,0.004,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.397,293.153,NaN,NaN,NaN
108.947,115.102,-5.515,7.349,-0.008,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.341,293.153,NaN,NaN,NaN
109.229,113.549,-5.517,7.352,0.004,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.376,293.153,NaN,NaN,NaN
109.51,111.996,-5.516,7.389,0.011,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.418,293.153,NaN,NaN,NaN
109.792,110.444,-5.513,7.3,0.015,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.465,293.153,NaN,NaN,NaN
110.074,108.892,-5.509,7.427,0.003,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.437,293.153,NaN,NaN,NaN
110.355,107.339,-5.508,7.292,-0.013,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.36,293.153,NaN,NaN,NaN
110.637,105.787,-5.511,7.206,0.045,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.623,293.153,NaN,NaN,NaN
110.919,104.237,-5.499,7.39,-0.022,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.387,293.153,NaN,NaN,NaN
111.201,102.684,-5.505,7.546,-0.005,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.415,293.153,NaN,NaN,NaN
111.483,101.133,-5.506,7.684,-0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.385,293.153,NaN,NaN,NaN
111.764,99.581,-5.508,7.575,0.063,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.727,293.153,NaN,NaN,NaN
112.046,98.033,-5.491,7.807,-0.073,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.182,293.153,NaN,NaN,NaN
112.328,96.48,-5.511,7.77,4.166e-6,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.366,293.153,NaN,NaN,NaN
112.828,93.724,-5.511,7.703,0.117,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.968,293.153,NaN,NaN,NaN
113.11,92.179,-5.478,7.384,-0.107,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.104,293.153,NaN,NaN,NaN
113.393,90.625,-5.509,7.479,0.021,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.485,293.153,NaN,NaN,NaN
113.674,89.076,-5.503,7.338,0.043,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.651,293.153,NaN,NaN,NaN
113.955,87.529,-5.49,7.116,-0.051,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.273,293.153,NaN,NaN,NaN
114.238,85.978,-5.505,7.229,-0.014,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.326,293.153,NaN,NaN,NaN
114.519,84.428,-5.509,7.215,0.008,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.399,293.153,NaN,NaN,NaN
114.8,82.88,-5.507,7.148,-0.002,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.367,293.153,NaN,NaN,NaN
115.081,81.332,-5.507,7.101,0.066,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.708,293.153,NaN,NaN,NaN
115.362,79.786,-5.489,6.885,-0.057,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.236,293.153,NaN,NaN,NaN
115.644,78.236,-5.505,6.968,0.01,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.432,293.153,NaN,NaN,NaN
115.925,76.689,-5.502,7.067,0.05,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.663,293.153,NaN,NaN,NaN
116.207,75.144,-5.488,7.263,-1.316e-4,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.528,293.153,NaN,NaN,NaN
116.489,73.597,-5.488,7.474,-0.062,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.201,293.153,NaN,NaN,NaN
116.77,72.047,-5.505,7.5,0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.395,293.153,NaN,NaN,NaN
117.051,70.501,-5.503,7.435,0.028,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.515,293.153,NaN,NaN,NaN
117.332,68.956,-5.496,7.581,-0.006,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.409,293.153,NaN,NaN,NaN
117.614,67.409,-5.497,7.449,0.057,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.72,293.153,NaN,NaN,NaN
117.895,65.866,-5.481,7.202,-0.025,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.436,293.153,NaN,NaN,NaN
118.177,64.319,-5.488,7.022,-0.021,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.39,293.153,NaN,NaN,NaN
118.458,62.773,-5.494,7.167,-0.023,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.32,293.153,NaN,NaN,NaN
118.74,61.227,-5.501,7.106,-0.003,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.361,293.153,NaN,NaN,NaN
119.021,59.682,-5.501,7.146,0.013,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.431,293.153,NaN,NaN,NaN
119.301,58.137,-5.498,7.238,0.047,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.636,293.153,NaN,NaN,NaN
119.582,56.595,-5.485,7.429,-0.057,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.214,293.153,NaN,NaN,NaN
119.864,55.048,-5.501,7.439,0.008,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.398,293.153,NaN,NaN,NaN
120.144,53.505,-5.499,7.372,-0.005,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.35,293.153,NaN,NaN,NaN
120.425,51.961,-5.5,7.376,0.039,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.561,293.153,NaN,NaN,NaN
120.706,50.419,-5.489,7.532,-0.035,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.275,293.153,NaN,NaN,NaN
120.987,48.874,-5.499,7.509,0.02,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.466,293.153,NaN,NaN,NaN
121.268,47.332,-5.493,7.386,-0.018,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.315,293.153,NaN,NaN,NaN
121.549,45.788,-5.498,7.377,0.001,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.365,293.153,NaN,NaN,NaN
121.829,44.246,-5.498,7.373,0.175,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,26.274,293.153,NaN,NaN,NaN
122.11,42.71,-5.449,7.701,-0.15,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.03,293.153,NaN,NaN,NaN
122.393,41.162,-5.491,7.861,0.068,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.768,293.153,NaN,NaN,NaN
122.673,39.623,-5.472,7.585,-0.05,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.326,293.153,NaN,NaN,NaN
122.955,38.079,-5.486,7.761,-0.007,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.414,293.153,NaN,NaN,NaN
123.236,36.538,-5.488,7.618,-0.018,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.336,293.153,NaN,NaN,NaN
123.517,34.996,-5.493,7.545,0.004,NaN,NaN,2588.645,0.287,0,63.479,-8.062,0,25.398,293.153,NaN,NaN,NaN
